id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1218963,油菜,1186,蔬菜,,,1.0,1.3,1.15,冀,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218962,香菜,1186,蔬菜,,,3.0,4.0,3.5,冀,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218961,茴香,1186,蔬菜,,,3.0,3.5,3.25,冀,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218960,韭菜,1186,蔬菜,,,3.2,4.0,3.6,粤冀,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218959,苦菊,1186,蔬菜,,,3.3,3.5,3.4,辽,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218958,油麦菜,1186,蔬菜,,,3.0,4.0,3.5,辽,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218957,黄心菜,1186,蔬菜,,,1.0,1.1,1.05,皖,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218876,散生菜,1186,蔬菜,1199,水菜,4.0,5.0,4.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218875,香葱,1186,蔬菜,1199,水菜,4.0,5.0,4.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218874,茼蒿,1186,蔬菜,1199,水菜,4.0,5.0,4.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218873,蒿子秆,1186,蔬菜,1199,水菜,4.0,5.0,4.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218872,水萝卜,1186,蔬菜,1199,水菜,4.0,4.5,4.25,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218871,樱桃萝卜,1186,蔬菜,1199,水菜,3.0,3.5,3.25,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218870,香芹,1186,蔬菜,1199,水菜,3.5,4.0,3.75,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218869,菠菜,1186,蔬菜,1199,水菜,4.0,4.5,4.25,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218868,苋菜,1186,蔬菜,1199,水菜,5.5,6.0,5.75,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218867,菊花菜,1186,蔬菜,1199,水菜,2.0,3.0,2.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218866,黄心菜,1186,蔬菜,1199,水菜,3.0,3.5,3.25,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218865,青蒜,1186,蔬菜,1199,水菜,5.5,6.0,5.75,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218864,盖菜,1186,蔬菜,1199,水菜,2.0,2.5,2.25,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218863,芥兰,1186,蔬菜,1199,水菜,3.0,3.5,3.25,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218862,菜心,1186,蔬菜,1199,水菜,3.0,4.0,3.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218861,空心菜,1186,蔬菜,1199,水菜,6.5,7.0,6.75,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218860,鸡毛菜,1186,蔬菜,1199,水菜,3.0,3.5,3.25,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218859,豌豆苗,1186,蔬菜,1199,水菜,4.0,4.5,4.25,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218858,快菜,1186,蔬菜,1199,水菜,2.5,3.0,2.75,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218857,苦菊,1186,蔬菜,1199,水菜,4.5,5.5,5.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
